Date, 413207, 413211, 435596, 418218, 435675, 416927, 417385, 417821

5/21 LetterOfTheDay.txt ICCTechniques.txt LetterOfTheDay.txt NULL NULL NULL NULL NULL
5/22 Stickies.txt ImportantProteins.txt ImportantProteins.txt NULL NULL NULL NULL NULL
5/23 KeepWorking.txt NULL KeepWorking.txt NULL NULL NULL NULL NULL
5/24 ImportantProteins.txt Location.txt Stickies.txt AAMnemonics.txt NULL NULL NULL NULL
5/25 NULL TextResources.txt RandomAlleles.txt TOTD.txt NULL NULL NULL NULL
5/26 OsmoticPressure.txt KeepWorking.txt Blanks.txt IdealPlan.txt NULL NULL NULL NULL
5/27 GeneticsQuiz.txt Underestimate.txt Physiology.txt NAContent.txt NULL NULL NULL NULL
5/28 RandomAlleles.txt OsmoticPressure.txt Annoyances.txt Regurgitate.txt NULL NULL NULL NULL
5/29 Blanks.txt GeneticsQuiz.txt GoingDown.txt Glycolysis.txt NULL NULL NULL NULL
5/30 Physiology.txt LetterOfTheDay.txt Food.txt Timing.txt NULL NULL NULL NULL
5/31 Annoyances.txt Stickies.txt PracticeWalk.txt ReadingSkills.txt NULL NULL NULL NULL
6/1 GoingDown.txt RandomAlleles.txt BookOff.txt HowToMakeProtein.txt NULL NULL NULL NULL
6/2 Wording.txt Blanks.txt ThinkOrMemorize.txt Location.txt NULL NULL NULL NULL
6/3 Food.txt Annoyances.txt ReadingSkills.txt CostOfProteins.txt NULL NULL NULL NULL
6/4 StrikeOut.txt Physiology.txt PPHormones.txt TextResources.txt NULL NULL NULL NULL
6/5 Myelination.txt GoingDown.txt LifeStyleChange.txt InduceRepress.txt AAMnemonics.txt NULL NULL AAMnemonics.txt
6/6 NULL Wording.txt Stress.txt Underestimate.txt TOTD.txt NULL NULL TOTD.txt
6/7 PracticeWalk.txt Food.txt ImportantMolecules.txt LetterOfTheDay.txt IdealPlan.txt NULL NULL IdealPlan.txt
6/8 WriteDown.txt Myelination.txt KeepPracticing.txt Stickies.txt NAContent.txt NULL NULL NAContent.txt
6/9 BookOff.txt PracticeWalk.txt EpiAndNE.txt KeepWorking.txt Regurgitate.txt NULL NULL NULL
6/10 FlashCards.txt BookOff.txt ReadingSkills2.txt ImportantProteins.txt Timing.txt NULL NULL NULL
6/11 ThinkOrMemorize.txt ThinkOrMemorize.txt Comparisons.txt NULL Glycolysis.txt NULL NULL Glycolysis.txt
6/12 KeepPracticing.txt KeepPracticing.txt Celebrate.txt OsmoticPressure.txt ICCTechniques.txt AAMnemonics.txt NULL NULL
6/13 ICCTechniques.txt ReadingSkills.txt PrepAndClothes.txt GeneticsQuiz.txt HowToMakeProtein.txt NULL NULL NULL
6/14 PPHormones.txt PPHormones.txt HormoneClass.txt RandomAlleles.txt Location.txt TOTD.txt NULL TextResources.txt
6/15 HormoneClass.txt HormoneClass.txt Glycolysis.txt Blanks.txt TextResources.txt NULL NULL NULL
6/16 EpiAndNE.txt EpiAndNE.txt HowToMakeProtein.txt Annoyances.txt CostOfProteins.txt NULL NULL NULL
6/17 BFAndSA.txt BFAndSA.txt InduceRepress.txt GoingDown.txt InduceRepress.txt IdealPlan.txt NULL NULL
6/18 LifeStyleChange.txt LifeStyleChange.txt NULL Physiology.txt Underestimate.txt NULL NULL NULL
6/19 Stress.txt Stress.txt OsmoticPressure.txt Food.txt LetterOfTheDay.txt NULL NULL StrikeOut.txt
6/20 ImportantMolecules.txt WriteDown.txt GeneticsQuiz.txt Myelination.txt Stickies.txt NULL NULL NULL
6/21 Comparisons.txt ImportantMolecules.txt Location.txt PracticeWalk.txt KeepWorking.txt Regurgitate.txt NULL KeepWorking.txt
6/22 Celebrate.txt Comparisons.txt Wording.txt BookOff.txt NULL NULL NULL ReadingSkills.txt
6/23 ReadingSkills2.txt Celebrate.txt Myelination.txt ThinkOrMemorize.txt NULL Timing.txt NULL NULL
6/24 PrepAndClothes.txt PrepAndClothes.txt Underestimate.txt KeepPracticing.txt NULL NULL NULL ICCTechniques.txt
6/25 DaysBefore.txt StrikeOut.txt TextResources.txt ICCTechniques.txt ImportantProteins.txt Glycolysis.txt NULL Stress.txt
6/26 TwasThe.txt FlashCards.txt BFAndSA.txt PPHormones.txt NULL ICCTechniques.txt NULL InduceRepress.txt
6/27 NULL ReadingSkills2.txt WriteDown.txt HormoneClass.txt OsmoticPressure.txt HowToMakeProtein.txt NULL CostOfProteins.txt
6/28 Farewell.txt DaysBefore.txt StrikeOut.txt EpiAndNE.txt GeneticsQuiz.txt Location.txt NULL HowToMakeProtein.txt
6/29 NULL TwasThe.txt FlashCards.txt NULL RandomAlleles.txt TextResources.txt AAMnemonics.txt PracticeWalk.txt
6/30 NULL Farewell.txt ReadingSkills.txt NULL Blanks.txt CostOfProteins.txt StrikeOut.txt Regurgitate.txt
7/1 NULL NULL DaysBefore.txt BFAndSA.txt Wording.txt InduceRepress.txt IdealPlan.txt Timing.txt
